player_name,age,group_name,photo_filename
Aarya,,,
Aditya,,,
Ajay,,,
Ajit,,,
Akhil,,,
Alay,,,
Alpesh,,,
Amar,,,
Ameya,,,
Amol,,,
Amrish,,,
Anand,,,
Ankit,,,
Ankur,,,
Ashish,,,
Chintan,,,
Chirag,,,
Devang,,,
Devang,,,
Devansh,,,
Dhairya,,,
Dharmil,,,
Dhaval,,,
Dhruv,,,
Dilip,,,
Dinesh,,,
Divyang,,,
Gaurav,,,
Hardik,,,
Hardik,,,
Hariom,,,
Heet,,,
Hemal,,,
Hiren,,,
Hitendra,,,
Hitesh,,,
Jash,,,
Jatin,,,
Jay,,,
Jay,,,
Jaydeep,,,
Jayesh,,,
Jeet,,,
Jenil,,,
Jiash,,,
Jignesh,,,
Jitendra,,,
Jitendra,,,
Jitesh,,A,jitesh.jpg
Kalpesh,,,
Kavya,,,
Keval,,,
Kirit,,,
Krishnan,,,
Kshitij,,,
Kumar,,,
Lalit,,,
Malay,,,
Mitanshu,,,
Mitesh,,,
Neel,,,
Neel,,,
Nikhil,,,
Nikunj,,,
Nimesh,,,
Niraj,,,
Nirav,,,
Nishit,,,
Nitin,,,
Omi,,,
Paresh,,,
Pinak,,,
Pranay,,,
Pranjal,,,
Pranshu,,,
Pravin,,,
Rajesh,,,
Rajesh,,,
Ramesh,,,
Romit,,,
Sagar,,,
Sahil,,,
Sahil,,,
Sajil,,,
Sanjay,,,
Sanyam,,,
Saurabh,,,
Shlok,,,
Shubh,,,
Smit,,,
Sujit,,,
Supan,,,
Tanish,,,
Tej,,,
Tirth,,,
Uday,,,
Uday,,,
Vaibhav,,A,vaibhav.jpg
Varun,,,
Veer,,,
Vinit,,,
Vishal,,,
Vishal,,,
Vivan,,,
Yagnesh,,,
Yash,,,
Yash,,,
